date,equity
2014-01-02,10000
2014-01-03,9971.6370859883791
2014-01-06,9913.6113529296963
2014-01-07,9948.4161485613095
2014-01-08,9953.3368041361846
2014-01-09,9955.8116163317372
2014-01-10,9980.9327598910004
2014-01-13,9828.849108968865
2014-01-14,9937.4648936557878
2014-01-15,9989.4751257186253
2014-01-16,9971.3492717077916
2014-01-17,9932.405738613068
2014-01-21,9952.7248101382247
2014-01-22,9939.1476134996647
2014-01-23,9827.1055855040013
2014-01-24,9574.1603886442626
2014-01-27,9551.9819338447996
2014-01-28,9622.2830538230919
2014-01-29,9549.5306632896045
2014-01-30,9649.1812417508845
2014-01-31,9566.4145533918399
2014-02-03,9333.4481311092804
2014-02-04,9395.8774370687479
2014-02-05,9379.8412398822384
2014-02-06,9475.4462206309508
2014-02-07,9627.4071902868072
2014-02-10,9640.1659996312083
2014-02-11,9758.7691822176857
2014-02-12,9790.4182925209225
2014-02-13,9839.7179670823643
2014-02-14,9879.2985589902055
2014-02-18,9909.0907245554154
2014-02-19,9847.1720452753507
2014-02-20,9918.6818655327097
2014-02-21,9903.9806858870561
2014-02-24,9966.0765896562771
2014-02-25,9937.8560887325821
2014-02-26,9943.5456328892451
2014-02-27,10008.478045242342
2014-02-28,10018.823472221506
2014-03-03,9935.9365363725938
2014-03-04,10090.067573712955
2014-03-05,10096.608029842992
2014-03-06,10107.456478137387
2014-03-07,10095.136872720483
2014-03-10,10091.854818458374
2014-03-11,10026.152854020194
2014-03-12,10017.884626936695
2014-03-13,9901.3926399141983
2014-03-14,9870.6134874905911
2014-03-17,9969.3980505440322
2014-03-18,10041.88037092796
2014-03-19,9967.4717994775365
2014-03-20,10021.815922815742
2014-03-21,9947.2339284429709
2014-03-24,9873.466510755492
2014-03-25,9950.8471271351373
2014-03-26,9870.4670037379037
2014-03-27,9849.3891633885323
2014-03-28,9883.8894128445772
2014-03-31,10002.480516376865
2014-04-01,10065.479107935171
2014-04-02,10128.512936852811
2014-04-03,10114.203670252868
2014-04-04,9955.0812074296045
2014-04-07,9848.6720987249792
2014-04-08,9851.7087263955582
2014-04-09,10007.453444964434
2014-04-10,9753.1677985914521
2014-04-11,9653.3799598646492
2014-04-14,9722.108255434081
2014-04-15,9795.7705021238107
2014-04-16,9894.0228388593223
2014-04-17,9915.021305587501
2014-04-21,9976.2900359969826
2014-04-22,10028.337453419741
2014-04-23,9988.4759739475703
2014-04-24,10003.073997761965
2014-04-25,9903.159488538653
2014-04-28,9955.9782881989049
2014-04-29,10007.285606053783
2014-04-30,10042.524566054431
2014-05-01,10045.531064346118
2014-05-02,10002.475947099963
2014-05-05,10052.417567766099
2014-05-06,9981.4462802879461
2014-05-07,10073.22030452822
2014-05-08,10018.103133428549
2014-05-09,9991.6236188915118
2014-05-12,10044.464354540412
2014-05-13,10062.994861372315
2014-05-14,10057.163911954
2014-05-15,9980.4499934166815
2014-05-16,10006.639953193848
2014-05-19,9989.0146817888963
2014-05-20,9923.367133275271
2014-05-21,9986.5375059716007
2014-05-22,10039.948364679507
2014-05-23,10054.839939025647
2014-05-27,10117.205428735178
2014-05-28,10130.15176296051
2014-05-29,10180.237783834082
2014-05-30,10209.069622360528
2014-06-02,10227.186462654607
2014-06-03,10242.561008814149
2014-06-04,10239.18443507409
2014-06-05,10303.765391733183
2014-06-06,10336.753539468042
2014-06-09,10309.841786600578
2014-06-10,10300.812357992347
2014-06-11,10251.18063923686
2014-06-12,10244.191468103647
2014-06-13,10311.946233160814
2014-06-16,10347.890800308496
2014-06-17,10348.138411957683
2014-06-18,10489.416711899063
2014-06-19,10536.232791392695
2014-06-20,10571.011722629608
